21,9
69,53
31,24
2,9
50,53
2,5
3,44
69,49
25,26
50,31
68,41
54,67
19,8
11,9
9,29
1,31
13,12
28,5
69,41
51,66
53,43
65,35
40,67
43,13
21,34
49,3
65,61
25,9
39,21
59,37
11,24
9,30
63,62
41,69
6,29
68,47
45,1
9,1
11,14
59,19
67,54
12,5
41,44
59,45
3,28
57,42
7,25
43,11
31,19
9,6
53,60
29,8
53,67
17,1
11,17
31,3
55,35
2,21
67,61
37,5
6,1
51,24
39,1
31,1
69,58
61,19
49,63
40,21
28,25
59,59
66,69
30,1
7,5
53,49
4,17
39,23
23,20
62,67
51,36
55,39
41,3
57,30
18,7
6,37
29,25
55,48
37,16
65,69
21,5
43,48
3,11
3,9
63,39
23,23
43,67
47,3
69,47
67,53
65,24
67,52
35,20
46,45
57,26
15,32
35,68
15,16
41,1
63,29
15,3
15,18
51,50
60,43
50,1
35,12
41,10
58,39
27,18
50,69
55,40
2,3
51,47
1,11
16,9
23,9
19,7
29,12
37,3
1,15
11,1
25,11
65,56
37,70
60,41
48,69
62,29
53,38
12,35
67,42
49,67
31,5
39,7
65,43
5,25
23,24
43,68
11,11
9,32
62,39
69,39
51,46
38,21
67,37
5,26
62,19
27,21
48,51
55,62
11,33
25,4
13,20
61,58
62,55
41,66
11,40
16,7
9,17
67,65
1,1
9,33
7,35
1,3
11,4
29,21
47,47
61,67
41,70
42,65
55,47
54,49
36,13
61,36
18,23
26,23
45,5
9,18
61,27
36,21
59,32
4,9
6,35
51,23
1,17
12,11
65,67
41,65
37,65
1,24
21,8
59,28
17,14
63,68
20,19
17,10
63,69
57,44
55,56
45,64
25,27
27,4
22,23
5,13
19,14
47,46
49,4
21,15
63,58
60,31
25,28
6,3
61,38
33,5
58,37
11,32
21,7
44,61
55,45
55,37
35,22
10,15
36,5
19,11
59,31
33,19
30,5
69,69
69,63
57,69
5,33
60,27
29,7
57,43
61,61
3,26
13,33
57,59
66,39
63,27
33,11
51,1
52,67
5,29
35,3
17,2
9,31
37,24
61,23
9,5
68,35
21,28
2,25
51,48
68,49
4,19
43,66
7,34
13,15
36,1
42,63
13,0
23,7
48,47
56,31
55,43
47,45
18,15
56,45
61,64
48,45
69,65
40,11
51,68
51,51
53,46
3,30
49,62
4,13
17,27
38,69
41,0
5,23
65,32
9,35
55,21
65,55
51,39
67,51
5,9
39,5
58,49
21,17
63,41
21,18
57,65
53,51
2,13
53,0
53,6
27,17
55,59
61,42
27,7
25,25
39,13
62,53
51,44
2,27
19,17
58,65
8,1
30,23
14,5
33,3
43,65
18,27
35,7
11,35
12,29
57,68
59,63
44,19
36,25
68,37
15,19
53,39
62,69
35,4
61,55
59,43
23,17
69,45
18,5
50,59
39,6
69,32
17,5
11,8
21,2
39,4
64,65
33,2
17,22
33,50
25,24
44,51
31,7
11,38
11,25
63,59
25,21
42,7
8,11
33,9
45,63
62,63
33,4
66,59
61,29
5,27
59,27
55,20
38,9
8,7
51,3
23,1
53,65
69,55
1,34
70,49
61,57
22,9
17,26
17,12
61,69
49,43
9,28
33,26
15,35
13,34
55,27
68,45
45,61
59,47
13,29
59,33
65,53
10,1
35,21
13,27
28,1
23,10
61,37
69,57
23,21
5,28
57,48
41,21
11,13
20,11
1,21
61,66
66,47
63,26
5,15
